online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Yes,Yes,NEW,0,Banashankari,Casual Dining,"Continental, Asian, North Indian, Tea",500,Dine-out,Banashankari
Yes,Yes,NEW,0,Banashankari,Casual Dining,"Continental, Asian, North Indian, Tea",500,Dine-out,Banashankari
No,No,,0,Banashankari,Quick Bites,Biryani,250,Dine-out,Banashankari
No,No,,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Banashankari
No,No,NEW,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Banashankari
No,No,,0,Banashankari,Quick Bites,Biryani,250,Dine-out,Banashankari
No,No,,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Banashankari
No,No,NEW,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Banashankari
Yes,No,NEW,0,BTM,Quick Bites,North Indian,300,Delivery,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,North Indian,300,Delivery,Bannerghatta Road
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,Bannerghatta Road
No,No,,0,Bannerghatta Road,Quick Bites,Fast Food,200,Delivery,Bannerghatta Road
No,No,,0,Bannerghatta Road,Quick Bites,Fast Food,200,Delivery,Bannerghatta Road
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Bannerghatta Road
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Delivery,Bannerghatta Road
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Delivery,Bannerghatta Road
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Bannerghatta Road
No,No,,0,Bannerghatta Road,Dessert Parlor,Desserts,300,Desserts,Bannerghatta Road
No,No,,0,Bannerghatta Road,Dessert Parlor,Desserts,300,Desserts,Bannerghatta Road
No,No,,0,Bannerghatta Road,Quick Bites,South Indian,200,Dine-out,Bannerghatta Road
No,No,3.6/5,10,Bannerghatta Road,Food Court,"South Indian, Beverages",400,Dine-out,Bannerghatta Road
No,No,,0,Bannerghatta Road,Quick Bites,South Indian,200,Dine-out,Bannerghatta Road
No,No,NEW,0,Bannerghatta Road,Quick Bites,South Indian,250,Dine-out,Bannerghatta Road
No,No,3.6/5,10,Bannerghatta Road,Food Court,"South Indian, Beverages",400,Dine-out,Bannerghatta Road
No,No,NEW,0,Bannerghatta Road,Quick Bites,South Indian,250,Dine-out,Bannerghatta Road
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Dine-out,Bannerghatta Road
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Dine-out,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,North Indian,300,Dine-out,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,North Indian,300,Dine-out,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Dine-out,Bannerghatta Road
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Dine-out,Bannerghatta Road
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Basavanagudi
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Basavanagudi
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Basavanagudi
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Basavanagudi
No,No,-,0,Basavanagudi,Quick Bites,South Indian,100,Dine-out,Basavanagudi
No,No,-,0,Basavanagudi,Quick Bites,South Indian,100,Dine-out,Basavanagudi
No,No,,0,City Market,Quick Bites,"North Indian, Biryani",200,Dine-out,Basavanagudi
No,No,NEW,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Basavanagudi
No,No,NEW,0,Banashankari,Quick Bites,South Indian,150,Dine-out,Basavanagudi
No,No,,0,City Market,Quick Bites,"North Indian, Biryani",200,Dine-out,Basavanagudi
Yes,Yes,4.4/5,4099,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian","1,400",Buffet,Bellandur
Yes,Yes,4.4/5,4099,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian","1,400",Buffet,Bellandur
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur
No,No,,0,Bellandur,Delivery,Biryani,400,Delivery,Bellandur
No,No,,0,Bellandur,Delivery,Biryani,400,Delivery,Bellandur
No,No,,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur
No,No,,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur
No,No,,0,Bellandur,"Takeaway, Delivery",North Indian,400,Delivery,Bellandur
No,No,,0,Bellandur,Quick Bites,Biryani,400,Delivery,Bellandur
No,No,,0,Bellandur,Quick Bites,Biryani,400,Delivery,Bellandur
No,No,,0,Bellandur,"Takeaway, Delivery",North Indian,400,Delivery,Bellandur
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Bellandur
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Bellandur
No,No,,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Bellandur
No,No,,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Bellandur
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Bellandur
No,Yes,4.4/5,1496,Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican","1,900",Drinks & nightlife,Bellandur
Yes,Yes,4.4/5,3061,Marathahalli,"Casual Dining, Bar","North Indian, Japanese","1,500",Drinks & nightlife,Bellandur
No,Yes,4.4/5,1496,Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican","1,900",Drinks & nightlife,Bellandur
Yes,Yes,4.4/5,3061,Marathahalli,"Casual Dining, Bar","North Indian, Japanese","1,500",Drinks & nightlife,Bellandur
Yes,Yes,4.4/5,3061,Marathahalli,"Casual Dining, Bar","North Indian, Japanese","1,500",Pubs and bars,Bellandur
Yes,Yes,4.4/5,3061,Marathahalli,"Casual Dining, Bar","North Indian, Japanese","1,500",Pubs and bars,Bellandur
No,Yes,4.4/5,2039,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200",Drinks & nightlife,Brigade Road
No,Yes,4.4/5,2039,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200",Drinks & nightlife,Brigade Road
Yes,No,NEW,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Delivery,Brookefield
No,No,,0,Marathahalli,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Brookefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Delivery,Brookefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Delivery,Brookefield
No,No,,0,Marathahalli,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Brookefield
Yes,No,NEW,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Delivery,Brookefield
Yes,No,NEW,0,Whitefield,"Takeaway, Delivery","Biryani, Mughlai",400,Delivery,Brookefield
Yes,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Brookefield
Yes,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Brookefield
Yes,No,,0,Whitefield,Casual Dining,South Indian,400,Delivery,Brookefield
Yes,No,,0,Whitefield,Casual Dining,South Indian,400,Delivery,Brookefield
Yes,No,NEW,0,Whitefield,"Takeaway, Delivery","Biryani, Mughlai",400,Delivery,Brookefield
No,No,,0,Marathahalli,Bakery,"Bakery, Desserts",300,Desserts,Brookefield
No,No,,0,Marathahalli,Bakery,"Bakery, Desserts",300,Desserts,Brookefield
No,No,NEW,0,Whitefield,Quick Bites,North Indian,200,Dine-out,Brookefield
Yes,No,NEW,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Dine-out,Brookefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Dine-out,Brookefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Dine-out,Brookefield
No,No,NEW,0,Whitefield,Quick Bites,North Indian,200,Dine-out,Brookefield
Yes,No,NEW,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Dine-out,Brookefield
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,BTM
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,BTM
Yes,No,NEW,0,BTM,Quick Bites,North Indian,200,Delivery,BTM
No,No,3.5/5,11,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM
Yes,No,NEW,0,BTM,Quick Bites,North Indian,200,Delivery,BTM
